userId,courseId,course_name,rating
36031,491,social-psychology,5
16631,22,aprendiendo-programar-python,5
25117,547,uva-darden-bcg-pricing-strategy-cost-economics,5
13149,529,the-science-of-well-being,5
18400,288,intro-common-law,5
14859,125,deep-neural-network,5
14825,328,learn-chinese,5
16128,220,gcp-fundamentals,4
3215,439,python,5
17675,484,six-sigma-principles,5
7137,158,engineering-mechanics-statics,5
2062,75,communication-strategies-virtual-age,5
39027,579,wharton-operations,5
31893,443,python-data-analysis,5
39143,381,neural-networks-deep-learning,4
10458,589,wine,1
23279,338,machine-learning-business-professionals,5
16553,186,excel-vba-for-creative-problem-solving-part-1,5
35093,220,gcp-fundamentals,4
3504,439,python,5
14634,509,success,5
9007,119,data-science-methodology,5
9029,580,wharton-operations-analytics,5
40331,306,introduction-psych,5
2918,362,ml-foundations,4
34350,199,financial-markets-global,5
22895,400,people-management,4
24099,340,machine-learning-projects,5
28362,503,sql-for-data-science,5
3585,329,learn-korean,5
18012,12,algorithmic-toolbox,5
9277,309,introduction-tensorflow,5
1598,590,womens-health-human-rights,5
7227,329,learn-korean,5
14583,383,neuroeconomics,3
21274,524,technical-support-fundamentals,5
15965,341,machine-learning-with-python,3
27745,367,money-banking,5
40321,450,python-network-data,5
6974,576,wharton-introduction-spreadsheets-models,2
5199,586,what-is-datascience,5
32653,345,manage-health-covid-19,5
3854,338,machine-learning-business-professionals,5
28220,569,wharton-contagious-viral-marketing,5
38875,554,uva-darden-getting-started-agile,5
30303,337,machine-learning,5
17498,480,seo-fundamentals,5
14641,328,learn-chinese,4
2903,160,english-principles,5
28618,214,fundamentals-of-graphic-design,5
10028,386,nlp-sequence-models,5
34317,421,private-equity,5
37008,337,machine-learning,5
31522,356,medical-research,5
13444,517,system-administration-it-infrastructure-services,5
23604,348,marketing-digital,5
1183,447,python-for-data-visualization,5
11549,450,python-network-data,5
1650,337,machine-learning,5
5844,220,gcp-fundamentals,5
1019,439,python,5
29988,125,deep-neural-network,5
11374,228,gestionar-personas,5
30593,214,fundamentals-of-graphic-design,5
27038,252,guitar,5
39559,337,machine-learning,4
13986,439,python,5
20489,348,marketing-digital,4
20916,257,how-things-work,4
14966,223,gcp-infrastructure-scaling-automation,4
14230,179,excel-aplicado-negocios-avanzado,5
26633,316,introduction-to-software-product-management,5
24896,381,neural-networks-deep-learning,5
16305,378,negociacion,5
23165,250,grammar-punctuation,5
16279,439,python,5
12017,502,sql-data-science,5
17942,427,professional-emails-english,5
18745,257,how-things-work,5
27061,220,gcp-fundamentals,5
26698,328,learn-chinese,4
22249,267,indigenous-canada,5
1283,559,ux-ui-design-de-interface,4
10206,503,sql-for-data-science,4
19372,203,finding-purpose-and-meaning-in-life,5
11189,160,english-principles,5
39742,48,build-a-computer,5
1863,554,uva-darden-getting-started-agile,5
19996,166,epidemiology,5
7236,206,food-and-health,5
30558,182,excel-essentials,5
6860,586,what-is-datascience,5
30647,441,python-crash-course,5
3124,381,neural-networks-deep-learning,5
6347,140,droits-de-lhomme,4
19897,158,engineering-mechanics-statics,5
7008,341,machine-learning-with-python,5
16068,227,gestion-organizaciones-efectivas,5
28032,9,ai-for-everyone,5
9976,403,philosophy,5
12173,439,python,3
10301,442,python-data,5
14360,442,python-data,5
11740,305,introduction-programming-unity,5
19547,250,grammar-punctuation,5
37713,9,ai-for-everyone,5
28204,120,data-scientists-tools,5
32974,220,gcp-fundamentals,5
18594,253,healing-with-the-arts,5
38603,550,uva-darden-design-thinking-social-sector,5
2907,562,visual-elements-user-interface-design,4
8339,332,learning-how-to-learn,5
20306,161,enlinea,5
7432,220,gcp-fundamentals,5
24220,329,learn-korean,5
16714,243,golang-getting-started,5
28106,393,open-source-tools-for-data-science,5
31467,353,matlab,5
9723,277,international-criminal-law,5
24911,330,learn-speak-korean1,5
29087,329,learn-korean,5
484,381,neural-networks-deep-learning,5
37362,82,computer-networking,5
1363,459,r-programming,5
15278,581,wharton-people-analytics,4
6900,329,learn-korean,5
13598,340,machine-learning-projects,5
25981,442,python-data,5
3276,440,python-basics,5
37938,478,search-engine-optimization,5
8271,165,epidemic-pandemic-outbreak,5
37742,82,computer-networking,5
17795,220,gcp-fundamentals,4
6967,427,professional-emails-english,5
14908,383,neuroeconomics,5
28600,524,technical-support-fundamentals,5
15616,397,painting,5
28409,218,gcp-big-data-ml-fundamentals,5
32992,298,introduction-cybersecurity-cyber-attacks,4
1188,569,wharton-contagious-viral-marketing,5
35271,558,ux-design-fundamentals,5
1950,289,intro-data-science-programacion-estadistica-r,5
38510,442,python-data,5
15878,286,intro-business-analytics,5
208,123,datasciencemathskills,5
17255,551,uva-darden-digital-product-management,4
24527,379,negotiation,5
1305,65,ciencia-computacao-python-conceitos,5
26523,586,what-is-datascience,5
34500,248,google-kubernetes-engine,5
14553,277,international-criminal-law,5
38392,348,marketing-digital,5
25742,240,global-financial-markets-instruments,5
28258,182,excel-essentials,5
35330,56,cancer,5
11740,586,what-is-datascience,5
36074,323,journalism,4
18979,340,machine-learning-projects,5
26,9,ai-for-everyone,4
35323,437,public-policy,5
6322,442,python-data,5
35848,362,ml-foundations,5
13808,220,gcp-fundamentals,5
25352,459,r-programming,5
4493,439,python,5
